is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
0,6,2015,July,27,1,0,2,1,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,6,       NULL,0,Transient,0,0,0,Check-Out,03-07-2015
1,88,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,01-07-2015
1,65,2015,July,27,1,0,4,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,1,Canceled,30-04-2015
1,92,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,2,Canceled,23-06-2015
1,100,2015,July,27,2,0,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,02-04-2015
1,79,2015,July,27,2,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,25-06-2015
0,3,2015,July,27,2,0,3,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,1,       NULL,0,Transient-Party,58.67,0,0,Check-Out,05-07-2015
1,63,2015,July,27,2,1,3,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,0,Canceled,25-06-2015
1,62,2015,July,27,2,2,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,1,No-Show,02-07-2015
1,62,2015,July,27,2,2,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,1,No-Show,02-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,1,       NULL,0,Transient-Party,43,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,4,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Check-Out,05-07-2015
1,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Canceled,29-06-2015
0,43,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Check-Out,05-07-2015
1,43,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Canceled,16-06-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
1,43,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Canceled,29-06-2015
1,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Canceled,16-06-2015
